ID,Company name Latin alphabet,NAICS 2017; primary code(s),"Operating P/L [=EBIT]th USD 2021","Operating P/L [=EBIT]th USD 2020","Operating P/L [=EBIT]th USD 2019","Operating P/L [=EBIT]th USD 2018","Operating P/L [=EBIT]th USD 2017","Operating P/L [=EBIT]th USD 2016","Operating P/L [=EBIT]th USD 2015","Operating P/L [=EBIT]th USD 2014","Operating P/L [=EBIT]th USD 2013","Operating P/L [=EBIT]th USD 2012","P/L for period [=Net income]th USD 2021","P/L for period [=Net income]th USD 2020","P/L for period [=Net income]th USD 2019","P/L for period [=Net income]th USD 2018","P/L for period [=Net income]th USD 2017","P/L for period [=Net income]th USD 2016","P/L for period [=Net income]th USD 2015","P/L for period [=Net income]th USD 2014","P/L for period [=Net income]th USD 2013","P/L for period [=Net income]th USD 2012","Total assetsth USD 2021","Total assetsth USD 2020","Total assetsth USD 2019","Total assetsth USD 2018","Total assetsth USD 2017","Total assetsth USD 2016","Total assetsth USD 2015","Total assetsth USD 2014","Total assetsth USD 2013","Total assetsth USD 2012","Cash & cash equivalentth USD 2021","Cash & cash equivalentth USD 2020","Cash & cash equivalentth USD 2019","Cash & cash equivalentth USD 2018","Cash & cash equivalentth USD 2017","Cash & cash equivalentth USD 2016","Cash & cash equivalentth USD 2015","Cash & cash equivalentth USD 2014","Cash & cash equivalentth USD 2013","Cash & cash equivalentth USD 2012","Total Current Liabilitiesth USD 2021","Total Current Liabilitiesth USD 2020","Total Current Liabilitiesth USD 2019","Total Current Liabilitiesth USD 2018","Total Current Liabilitiesth USD 2017","Total Current Liabilitiesth USD 2016","Total Current Liabilitiesth USD 2015","Total Current Liabilitiesth USD 2014","Total Current Liabilitiesth USD 2013","Total Current Liabilitiesth USD 2012","Income Tax Payableth USD 2021","Income Tax Payableth USD 2020","Income Tax Payableth USD 2019","Income Tax Payableth USD 2018","Income Tax Payableth USD 2017","Income Tax Payableth USD 2016","Income Tax Payableth USD 2015","Income Tax Payableth USD 2014","Income Tax Payableth USD 2013","Income Tax Payableth USD 2012","Depreciationth USD 2021","Depreciationth USD 2020","Depreciationth USD 2019","Depreciationth USD 2018","Depreciationth USD 2017","Depreciationth USD 2016","Depreciationth USD 2015","Depreciationth USD 2014","Depreciationth USD 2013","Depreciationth USD 2012"
933,VAPOTHERM; INC.,339112,n.a.,-43014,-48164,-37233,-28871,-22223,n.a.,n.a.,n.a.,n.a.,n.a.,-51502,-51059,-42468,-31005,-23072,n.a.,n.a.,n.a.,n.a.,n.a.,215658,111890,97246,60235,30855,n.a.,n.a.,n.a.,n.a.,n.a.,113683,71655,58223,26508,5846,n.a.,n.a.,n.a.,n.a.,n.a.,41977,16190,14043,14617,9206,n.a.,n.a.,n.a.,n.a.,n.a.,1717,983,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-4769,-3078,-2167,-1534,-1336,n.a.,n.a.,n.a.,n.a.
934,SIGA TECHNOLOGIES; INC.,325412,n.a.,84501,-2322,355099,-17624,-19346,-16546,-21202,-22806,-22093,n.a.,56342,-7241,421808,-36235,-39698,-39451,-265463,-17177,-14060,n.a.,149831,198566,203444,144670,160982,185733,166385,193824,105836,n.a.,117890,65249,100653,19858,28702,112711,99714,91310,32017,n.a.,10484,91736,11337,6810,7102,7333,7460,12189,15762,n.a.,920,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-530,-527,-70,-132,-174,-247,-352,-463,-419
935,VERICEL CORPORATION,541715,n.a.,2372,-11251,-3909,-14984,-19245,-16671,-18934,-20964,-33760,n.a.,2864,-9665,-8137,-17286,-27145,-23076,-25925,-20974,-33467,n.a.,205608,153238,118689,54577,48598,34309,47579,9215,15178,n.a.,75807,69718,82924,26862,22978,14581,30343,8059,13638,n.a.,22483,19795,14792,13090,12853,12108,11829,5321,5659,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-2400,-1744,-1426,-1612,-1600,-1300,-800,-489,-649
936,GOOD TIMES RESTAURANTS INC,722513,6897,-12041,-3495,372,-1203,-300,409,-219,-392,-474,16787,-13916,-5137,-1034,-2255,-1321,-791,-749,-807,-777,93681,99693,59905,60950,55153,46877,48228,16881,9875,7061,8856,11454,2745,3477,4337,6330,13809,9894,6143,616,12886,18636,9228,8335,6916,5122,7258,2550,1807,3010,1334,1397,1670,n.a.,n.a.,n.a.,n.a.,594,n.a.,n.a.,-3972,-4285,-4556,-3926,-3031,-2336,-1332,-682,-719,-795
937,GLOBAL BLOOD THERAPEUTICS; INC.,541715,n.a.,-244156,-289584,-182742,-119245,-83127,-46393,-20511,-15663,n.a.,n.a.,-247553,-266766,-174193,-117024,-82468,-50540,-23772,-19851,n.a.,n.a.,724002,796099,617643,356720,202387,151978,55756,6172,n.a.,n.a.,560892,609969,477534,314825,147274,148502,52069,3278,n.a.,n.a.,79032,71453,33773,26264,15515,9627,2537,3762,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-8323,-8605,-4700,-1700,-1235,-900,-666,-534,n.a.
938,ION GEOPHYSICAL CORPORATION,541360,n.a.,-14589,-18739,-52167,-2558,-43309,-97399,-107813,27915,73971,n.a.,-37225,-48199,-71171,-30242,-65148,-25122,-128252,-246874,61963,n.a.,193593,233194,292552,301069,313216,435088,617257,864671,820583,n.a.,37486,33065,33551,52056,52652,84933,173608,148056,60971,n.a.,226089,116188,117732,139617,95082,103603,153257,180060,209478,n.a.,3512,5367,n.a.,n.a.,1306,0,14765,17812,28904,n.a.,-3997,-43198,-57751,-63694,-55310,-24627,-25156,-14800,-12500
939,BOWMAN CONSULTING GROUP LTD,541330,n.a.,1869,2983,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,990,1526,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,63638,66798,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,386,509,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,23333,32603,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-2036,-514,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
940,BBQ HOLDINGS; INC,722511,n.a.,-10605,-613,6018,-3141,-5493,2143,3856,6584,6213,n.a.,4947,-649,4862,-8123,-2431,-4384,2897,4767,4360,n.a.,140268,73081,38356,36907,50945,57611,66677,75337,76524,n.a.,18101,5325,11598,8836,4450,5300,2133,1293,2074,n.a.,26837,16482,8912,10335,11143,14421,15340,13675,12179,n.a.,n.a.,0,16,n.a.,n.a.,40,167,76,62,n.a.,-5121,-2231,-1264,-2785,-2873,-4452,-5183,-5253,-6000
941,UNIQUE FABRICATING; INC.,326140,n.a.,-4813,-2003,9554,10287,12020,10449,10134,1461,6033,n.a.,-5710,-9068,3699,6487,6684,5029,4465,-1040,2560,n.a.,111180,101668,123287,122805,122537,99729,84151,77959,33897,n.a.,760,650,1410,1431,706,727,756,892,468,n.a.,63797,15375,19136,19725,20437,17393,16575,13996,10409,n.a.,204,0,41,349,611,0,90,0,1378,n.a.,-3000,-2900,-2563,-2197,-1804,-1379,-1154,-653,-501
942,CATALYST PHARMACEUTICALS; INC.,325412,n.a.,41303,31823,-35295,-18680,-19280,-20398,-14591,-10312,-5221,n.a.,74983,31875,-34004,-18412,-18072,-20233,-15509,-12155,-4076,n.a.,192354,112376,60450,85387,41707,60102,43908,25370,16789,n.a.,140278,94519,53482,84013,40406,58396,39275,23711,15417,n.a.,22756,24099,9511,4266,2095,3441,5855,2140,1647,n.a.,0,1534,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-92,-54,-38,-46,-43,-34,-27,-22,-11
943,ENERGY RECOVERY; INC.,333611,n.a.,31294,10364,9978,9249,3426,-11791,-18483,-2704,-9059,n.a.,26387,10913,22093,18354,3719,-11638,-18705,-3106,-8254,n.a.,204314,188774,179841,164485,149063,151799,85941,101935,104554,n.a.,114701,85123,95293,97800,100437,100188,28573,20227,26139,n.a.,15729,27830,27132,30360,17158,16024,11522,10682,12856,n.a.,n.a.,n.a.,0,432,16,2,4,22,39,n.a.,-5283,-3820,-3239,-3035,-3049,-3203,-3186,-2876,-2760
944,SANGAMO THERAPEUTICS; INC,325414,n.a.,-129552,-105180,-75050,-56361,-72559,-46856,-26781,-26606,-22198,n.a.,-120996,-95186,-68334,-54568,-71658,-40703,-26417,-26624,-22264,n.a.,938550,637516,590395,286741,157891,217235,243212,140838,82533,n.a.,641423,362474,400133,243308,142535,209000,178962,92813,63547,n.a.,143547,69872,78511,44859,13291,20097,20882,10131,8790,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-5700,-3930,-2400,-1500,-1000,-988,-549,-569,-660
945,NANOSTRING TECHNOLOGIES; INC.,325414,n.a.,-88047,-82701,-69393,-38197,-41176,-41242,-46023,-28497,-16509,n.a.,-110078,-40696,-77400,-43562,-47089,-45581,-50038,-29281,-17708,n.a.,544195,259754,147558,136762,126373,92869,102068,64372,37406,n.a.,440731,156855,93997,77555,74036,49044,72225,42656,21692,n.a.,37099,44986,43115,35919,36383,20911,18808,18630,11777,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-5838,-4919,-4000,-3300,-2900,-2300,-1500,-1800,-1900
946,ITERIS; INC.,334220,n.a.,1458,-1424,-2934,-5602,-5237,-3470,-2070,2049,1453,n.a.,10134,-5610,-7816,-3526,-4826,-12321,-1070,1409,2379,n.a.,126869,101957,57955,62886,62345,60020,70632,70607,69511,n.a.,28305,25773,9006,15471,18201,16029,21961,20414,18678,n.a.,33033,26515,23230,22494,20579,14927,13655,12918,12722,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-734,-848,-854,-819,-729,-649,-525,-768,-901
947,ORION ENERGY SYSTEMS; INC.,335122,n.a.,6836,13501,-6157,-12981,-12527,-19921,-31889,-7524,-6604,n.a.,26134,12462,-6674,-13128,-12288,-20126,-32061,-6199,-10399,n.a.,92821,72563,56021,45325,62051,70875,87805,98940,102097,n.a.,19393,28751,8729,9424,17307,15542,20002,18038,15397,n.a.,30372,27204,27335,16424,18396,19291,18319,17191,18773,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-1200,-1300,-1339,-1404,-1451,-2950,-2853,-3798,-4577
948,SITIME CORPORATION,334413,n.a.,-8613,-4873,-7790,5590,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-9372,-6607,-9342,4723,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,136011,123391,72689,74728,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,73525,63418,7889,9097,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,19145,53311,58680,54423,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-3702,-3373,-3513,-2747,n.a.,n.a.,n.a.,n.a.,n.a.
949,ASTRONOVA; INC.,334118,n.a.,2433,2433,8720,5412,6281,5934,7231,1533,2926,n.a.,1284,1759,5730,3286,4228,4525,4662,3212,10767,n.a.,115473,116664,118983,122313,83665,77963,74330,77964,79913,n.a.,11439,4249,7534,11688,24821,20419,23132,27107,39508,n.a.,20968,26767,24665,25912,11985,9548,9569,9892,13525,n.a.,655,0,554,684,1449,182,148,788,4169,n.a.,-1900,-2084,-2052,-1800,-1731,-1567,-2063,-1279,-1331
950,CERUS CORP,325414,n.a.,-58333,-66226,-54988,-57530,-61447,-61075,-44503,-28299,-17300,n.a.,-59857,-71244,-57564,-60585,-62906,-55868,-38755,-43337,-15917,n.a.,221415,165535,163460,98244,103476,139402,81776,83381,48919,n.a.,131285,83318,117577,60696,71628,107879,51294,57676,26696,n.a.,59974,50336,52678,23131,26888,21862,29187,39424,25613,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-3109,-2403,-1445,-1609,-1615,-1497,-1213,-355,-542
951,NAPCO SECURITY TECHNOLOGIES INC,334290,17335,10813,13466,8414,6378,6323,5281,4316,3717,3811,14901,8520,12223,7649,5599,5773,4845,3476,3021,2286,123293,105838,85908,73269,70862,64769,65037,63364,63903,64750,40219,18248,8028,5308,3454,3805,2346,2483,3229,2979,20176,17414,14372,9402,10473,8996,9433,9243,8615,8244,1635,1148,548,293,289,8,5,n.a.,n.a.,78,-1271,-1231,-1096,-1038,-933,-891,-903,-958,-1057,-1101
952,ENVELA CORPORATION,339910,n.a.,6787,3241,651,1955,-3598,-1959,-403,-509,-1215,n.a.,6384,2781,658,1839,-4006,-2252,-4524,-2659,-2311,n.a.,40579,27003,13018,13315,12913,16154,18909,24904,26115,n.a.,9218,4511,1454,1272,1412,1753,2184,2638,4911,n.a.,6053,4809,4605,5559,7005,9966,8902,10339,7605,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-729,-520,-287,-321,-404,-535,-382,-353,-439
953,POWERFLEET; INC,541511,n.a.,-3310,-4665,-5522,-4547,-5931,-10343,-11793,-8211,-3835,n.a.,-13606,-12047,-5812,-3870,-6370,-9952,-11575,-7499,-2592,n.a.,208801,223033,57803,60932,44246,44428,52486,55515,60566,n.a.,18127,16395,10553,6298,5087,4748,9223,10672,6408,n.a.,35898,43400,16875,19074,17812,16556,16993,11049,10327,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-2582,-852,-321,-757,-549,-583,-1129,-1005,-1017
954,AXOGEN; INC.,334510,n.a.,-23182,-31406,-20500,-7951,-8130,-9267,-9801,-9592,-7802,n.a.,-23786,-29135,-22397,-10445,-14411,-13356,-17710,-14557,-9418,n.a.,201381,154643,160173,58875,46360,36700,16401,27684,20231,n.a.,103966,96510,116605,36507,30014,25910,8216,20070,13907,n.a.,22831,20880,13044,13719,11081,3709,2445,2098,1480,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-1529,-955,-774,-488,-362,-203,-154,-79,-188
955,AXONICS; INC.,334510,n.a.,-53760,-80599,-32137,-18174,-17484,n.a.,n.a.,n.a.,n.a.,n.a.,-54915,-79935,-32483,-18061,-17401,n.a.,n.a.,n.a.,n.a.,n.a.,342206,219822,171906,29412,10856,n.a.,n.a.,n.a.,n.a.,n.a.,241181,183674,157524,24398,8209,n.a.,n.a.,n.a.,n.a.,n.a.,45682,12033,5887,2405,1485,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-1600,-1100,-800,-611,-510,n.a.,n.a.,n.a.,n.a.
956,GRID DYNAMICS HOLDINGS; INC.,541511,n.a.,-15448,-7144,-326,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-12599,-3322,615,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,167135,71531,222364,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,112745,42189,1011,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,13318,8300,445,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1248,869,217,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-2600,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
957,SKYTOP LODGE CORP,721110,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
958,RIGEL PHARMACEUTICALS INC,325412,n.a.,-28973,-69091,-72683,-79616,-64470,-51743,-91249,-87790,-99377,n.a.,-29744,-66894,-70480,-77992,-69216,-51464,-90908,-89027,-98840,n.a.,110378,147569,139109,119111,78134,131747,154135,226058,310043,n.a.,57327,98078,128537,115751,74766,126276,143159,211975,298241,n.a.,40841,58212,27734,18337,22588,33796,14025,10294,12204,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-706,-683,-594,-465,-941,-1439,-2359,-2592,-2433
959,FREIGHTCAR AMERICA; INC.,336510,n.a.,-62268,-59868,-32678,-29991,3803,46763,9507,-13635,33239,n.a.,-84443,-75183,-40581,-22562,12324,31805,5904,-19295,19095,n.a.,182742,245202,289737,295904,339255,406904,385252,417719,388565,n.a.,54047,66257,63089,130705,92750,110019,161493,184494,140487,n.a.,71149,49430,62050,40317,54135,72557,98325,147228,96576,n.a.,n.a.,n.a.,n.a.,n.a.,9,4180,n.a.,n.a.,n.a.,n.a.,-9202,-12438,-12017,-9366,-9377,-9438,-9479,-9486,-7808
960,KARYOPHARM THERAPEUTICS INC.,325412,n.a.,-171850,-189275,-179883,-130538,-110732,-119076,-75846,-33950,-15890,n.a.,-196273,-199590,-178407,-128984,-109577,-118181,-75777,-33947,-15888,n.a.,313050,294963,341192,180294,180385,215443,220337,158226,1311,n.a.,249240,261956,328199,146469,129552,175633,205724,155974,391,n.a.,60203,46350,46904,49467,16476,15132,12301,3292,1930,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-1000,-1000,-735,-713,-717,-634,-323,-144,-122
961,PARAGON TECHNOLOGIES INC,333922,n.a.,5424,3090,1993,-82,-1472,1028,-467,901,-360,n.a.,3601,992,952,2740,-1084,848,-431,-1776,-432,n.a.,42533,47628,35062,31894,4748,5771,5761,5407,7978,n.a.,3355,1603,1522,2040,1733,1841,1803,2546,4504,n.a.,28749,38155,28497,25870,1941,2170,2909,2070,3056,n.a.,1393,1280,780,769,0,110,26,53,0,n.a.,-311,-286,-207,-120,-125,-203,-80,-32,-48
962,ULTRALIFE CORP.,335912,n.a.,5701,7368,6555,6476,3763,3330,-1443,-624,-114,n.a.,5232,5205,24930,7648,3509,2869,-2116,-926,-1598,n.a.,137701,144557,120848,97186,84744,81522,87642,90194,97718,n.a.,10653,7405,25934,18241,10629,14393,17711,16066,9656,n.a.,18706,17190,15386,14239,11328,10847,11211,12024,19892,n.a.,n.a.,n.a.,n.a.,168,172,227,69,103,2,n.a.,-2340,-2220,-1972,-2005,-2223,-2472,-2828,-3029,-3467
963,ASSERTIO HOLDINGS INC,325412,n.a.,-65348,-190537,64260,-28933,24509,-80300,236814,9317,-30353,n.a.,-28144,-217201,36908,-102496,-88720,-75738,131762,43313,-29781,n.a.,303274,527170,932866,1038617,1225337,1357249,711065,508653,141653,n.a.,20786,42107,110949,128089,177420,209768,559441,271937,66813,n.a.,132686,184553,246036,310580,227242,219632,57499,156857,36681,n.a.,n.a.,n.a.,0,126,59,0,n.a.,61875,0,n.a.,-1648,-1200,-4700,-2757,-2530,-2400,-1864,-1613,-2600
964,OMEGA FLEX; INC.,332999,n.a.,26653,21922,26366,24217,21897,23503,20645,15048,10747,n.a.,19910,17286,20139,15662,14377,15788,13462,10037,6876,n.a.,71571,60984,86836,77091,70562,66274,55138,40074,32669,n.a.,23633,16098,47336,37938,35318,30152,22585,8257,939,n.a.,21871,20484,18405,18104,22735,23552,19018,12550,11530,n.a.,979,423,58,568,487,433,1216,134,235,n.a.,-870,-719,-543,-502,-459,-460,-486,-547,-588
965,SURMODICS INC,339112,11352,-1251,7359,-911,7103,20046,21589,18576,19296,15538,4237,1123,7592,-4457,3926,9985,11947,12031,15167,10231,194592,168763,159865,164135,136593,132894,98710,104889,101923,104319,38870,61098,55292,64670,48336,46941,55588,46551,25707,29657,29815,18892,20209,35133,9803,10135,4700,4067,5976,6899,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-4917,-4800,-4712,-3731,-3136,-2300,-2005,-2015,-2186,-2229
966,MACROGENICS; INC.,325412,n.a.,-131060,-177185,-171206,-22143,-60042,-20182,-38315,366,8205,n.a.,-129739,-151811,-171453,-19626,-58528,-20140,-38313,-261,8362,n.a.,378743,312501,332130,373883,311263,359269,173886,125782,53747,n.a.,272531,215756,232863,305121,276996,339049,157591,116481,47743,n.a.,50673,45167,59940,49755,27302,24202,27094,28822,29728,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-12000,-12300,-9200,-7228,-7608,-3200,-1822,-1193,-960
967,NORTECH SYSTEMS INC,334418,n.a.,-616,224,1249,-1268,629,-422,1329,1455,1461,n.a.,-1546,-1228,166,-2446,44,-571,880,787,629,n.a.,57634,61410,59960,52085,55517,56565,48537,46075,44515,n.a.,352,351,480,473,268,1,66,n.a.,n.a.,n.a.,19536,22232,24892,18045,20306,19672,13370,19367,20131,n.a.,n.a.,n.a.,n.a.,40,0,7,0,n.a.,61,n.a.,-2002,-1926,-1877,-2186,-2105,-2161,-2025,-2005,-1846
968,PRECIGEN INC,325414,n.a.,-86603,-166789,-369667,-95910,-125166,-146864,-69962,-58023,-75157,n.a.,-170521,-322324,-509336,-117018,-186612,-84493,-81822,-57371,-103868,n.a.,314587,455763,716177,846851,949068,982046,576272,469472,151646,n.a.,100117,75053,216874,79669,237209,238310,115961,177489,10663,n.a.,42127,122912,61562,80173,94605,75904,47482,19829,16717,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-7449,-8222,-8946,-10137,-9387,-7872,-6178,-4325,-4957
969,INTRICON CORPORATION,334510,n.a.,-1411,-2040,8375,3584,-1826,3731,3491,-1109,2068,n.a.,-2524,-3777,5547,2058,-4943,2228,2248,-6162,709,n.a.,121296,113593,115248,54474,43758,41886,33961,32720,39132,n.a.,28401,32613,8047,373,667,369,328,217,225,n.a.,18663,16926,21647,19315,13518,13586,11833,11359,11667,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-3166,-2744,-2049,-1679,-1882,-1524,-1955,-2246,-1921
970,ALPHA PRO TECH; LTD.,339113,n.a.,31582,3022,3874,2926,3672,1475,3218,2395,817,n.a.,27086,3000,3625,2633,3168,1041,2742,2079,977,n.a.,68802,38091,34255,34124,35936,39134,41952,38563,37299,n.a.,23292,6883,7265,9106,10063,10337,8335,9821,4847,n.a.,5852,2303,1920,2801,2465,2155,2294,1725,1653,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-725,-602,-520,-558,-527,-683,-701,-700,-735
971,HARVARD BIOSCIENCE INC,334516,n.a.,221,1777,984,-635,-1811,-925,7645,3687,8140,n.a.,-7810,-4687,-2922,-865,-4307,-19039,2355,-1830,2370,n.a.,156254,164870,168613,109354,107765,120050,135916,135460,133484,n.a.,8317,8335,8173,5192,5596,6744,14134,25771,20681,n.a.,21053,25312,25489,14041,14601,19323,18099,16085,9901,n.a.,286,609,978,395,223,2536,675,99,506,n.a.,-1922,-1987,-2423,-1317,-1532,-1745,-1253,-1298,-1270
972,LIFEWAY FOODS INC,311511,n.a.,4923,-1933,-3110,-526,6085,3928,4235,8031,8845,n.a.,3232,453,-3086,-346,3479,1972,1956,4990,5620,n.a.,60069,56987,56807,64519,65214,64918,63424,63674,53507,n.a.,7926,3836,2998,4978,8812,8375,6189,5838,4606,n.a.,8441,9523,7453,13201,9381,10823,8525,8882,6210,n.a.,653,154,106,203,654,52,n.a.,0,254,n.a.,-3087,-3146,-2846,-2440,-2323,-2413,-2536,-1627,-1630
973,SURGALIGN HOLDINGS; INC.,339113,n.a.,-93363,-304930,-59113,7523,-13535,26424,10608,-16771,14590,n.a.,-33783,-211642,-5243,2549,-17907,11610,-417,-19189,8402,n.a.,122704,344509,361186,345906,368031,380662,378135,369854,241409,n.a.,43962,5608,10949,22381,13849,12614,15703,18721,49696,n.a.,46823,240388,55900,52998,58964,59773,63986,52357,37462,n.a.,11761,n.a.,n.a.,n.a.,0,514,1249,395,3950,n.a.,-3567,-7670,-5904,-10513,-12835,-12240,-11010,-8267,-5970
974,IT TECH PACKAGING; INC.,322121,n.a.,-5456,3898,-11182,4680,12952,18197,17413,18843,20979,n.a.,-5554,2221,-10546,1660,7313,11542,11706,13015,14673,n.a.,199874,190198,203076,218989,208378,238627,239768,209526,162846,n.a.,4142,5838,8475,2896,2333,2642,3891,3131,13140,n.a.,18340,16835,29634,21758,20586,40238,44470,28373,16201,n.a.,688,2237,219,526,1311,601,637,1218,1255,n.a.,-15845,-15304,-14291,-14634,-15288,-13399,-8289,-7795,-8383
975,CEVA; INC.,334413,n.a.,-763,-1924,-2115,15873,14386,6312,1462,4759,12367,n.a.,-2379,28,574,17028,13100,6267,-819,6685,13685,n.a.,306952,297021,277263,276812,242495,212649,207005,212327,216333,n.a.,130130,144585,145868,138835,126516,97942,101443,134528,134994,n.a.,28180,26378,21752,22795,22595,18983,19995,14177,14107,n.a.,n.a.,n.a.,141,45,1489,830,739,1906,1826,n.a.,-3233,-3104,-2915,-2014,-1399,-1058,-752,-670,-525
976,ASPEN AEROGELS; INC.,326140,n.a.,-21569,-14159,-33916,-19136,-11220,-6235,-16043,-19972,-32973,n.a.,-21809,-14565,-34440,-19321,-12023,-6417,-66324,-83827,-56142,n.a.,97424,103502,99023,123815,134669,140074,145043,90233,95301,n.a.,16496,3633,3327,10694,18086,32804,49719,1574,1343,n.a.,13927,30434,23066,21569,18130,17409,20208,31389,21144,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-10200,-10213,-10800,-10800,-9853,-9887,-10183,-10061,-9684
977,SIFCO INDUSTRIES INC,332111,-5896,-1605,-7044,-5914,-11534,-12065,-5743,8087,13766,9021,-743,9191,-7506,-7170,-14209,-11335,-2872,5023,10234,6548,110668,121948,96099,102237,110887,130457,156689,109697,105765,106545,346,427,341,1252,1399,471,667,4596,4508,7176,35966,43297,46684,47817,45725,50763,33150,19154,19921,16731,n.a.,n.a.,n.a.,n.a.,901,n.a.,n.a.,n.a.,n.a.,n.a.,-6651,-5883,-5877,-6754,-7820,-8173,-6048,-4735,-3649,-3153
978,FOODBASE GROUP; INC.,313110,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
